               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.075803,             0.19388,                   0,             0.78232,             0.57287,             0.68414,             0.34212,            0.074662,              0.1896,                   0,           0.0035816,           0.0035816,           0.0035816
                 108,            0.075758,             0.19211,                   0,             0.77358,              0.5822,             0.68847,             0.34106,            0.074574,             0.18973,                   0,           0.0035154,           0.0035154,           0.0035154
                 109,            0.076164,             0.19393,                   0,             0.73638,             0.62108,             0.69876,             0.35017,            0.074062,             0.18879,                   0,           0.0034503,           0.0034503,           0.0034503
                 110,            0.076177,             0.19253,                   0,             0.78461,             0.59622,             0.69814,             0.34727,            0.073901,             0.18812,                   0,           0.0033863,           0.0033863,           0.0033863
                 111,            0.075631,              0.1956,                   0,             0.74651,             0.60258,             0.68803,             0.33991,            0.074033,             0.18766,                   0,           0.0033235,           0.0033235,           0.0033235
                 112,            0.076342,             0.19194,                   0,             0.79594,             0.57119,             0.68626,             0.34039,            0.074143,             0.18797,                   0,           0.0032618,           0.0032618,           0.0032618
                 113,            0.075447,             0.19229,                   0,             0.80691,             0.58562,             0.69635,             0.33889,            0.074227,             0.18879,                   0,           0.0032013,           0.0032013,           0.0032013
                 114,            0.075526,             0.18899,                   0,             0.79923,             0.59697,             0.70487,             0.34599,            0.073932,             0.18878,                   0,           0.0031421,           0.0031421,           0.0031421
                 115,            0.074742,             0.19113,                   0,             0.77132,             0.58989,             0.68816,             0.34171,            0.074117,             0.18745,                   0,           0.0030841,           0.0030841,           0.0030841
                 116,            0.075836,             0.19268,                   0,             0.79453,             0.57567,             0.68958,             0.34632,            0.073838,             0.18723,                   0,           0.0030274,           0.0030274,           0.0030274
                 117,            0.075424,             0.19404,                   0,             0.79874,             0.57399,             0.68875,             0.34517,            0.073727,              0.1875,                   0,            0.002972,            0.002972,            0.002972
                 118,            0.075022,             0.19151,                   0,              0.8275,             0.59361,             0.70812,             0.35316,            0.073578,             0.18757,                   0,           0.0029179,           0.0029179,           0.0029179
                 119,            0.075554,             0.19166,                   0,             0.79436,             0.59977,             0.70041,             0.34949,            0.073679,             0.18747,                   0,           0.0028652,           0.0028652,           0.0028652
                 120,            0.074994,             0.19085,                   0,              0.7594,             0.60538,              0.6922,             0.35122,            0.073471,             0.18683,                   0,           0.0028139,           0.0028139,           0.0028139
                 121,            0.075059,             0.19403,                   0,             0.76436,             0.60034,             0.69097,             0.34654,            0.073591,             0.18694,                   0,           0.0027639,           0.0027639,           0.0027639
                 122,            0.075785,             0.19125,                   0,             0.78177,             0.59249,             0.69491,             0.34495,            0.073397,             0.18705,                   0,           0.0027154,           0.0027154,           0.0027154
                 123,            0.074625,             0.18744,                   0,             0.80583,             0.58389,             0.69872,             0.35061,            0.073326,             0.18743,                   0,           0.0026683,           0.0026683,           0.0026683
                 124,            0.073955,             0.19568,                   0,             0.77915,             0.58016,             0.68857,             0.34689,            0.073353,             0.18625,                   0,           0.0026227,           0.0026227,           0.0026227
                 125,            0.074888,             0.19005,                   0,             0.78486,             0.54877,             0.66442,             0.32745,             0.07407,             0.18768,                   0,           0.0025785,           0.0025785,           0.0025785
                 126,            0.075817,             0.19306,                   0,             0.78881,             0.60146,             0.70681,             0.34876,            0.073473,             0.18775,                   0,           0.0025359,           0.0025359,           0.0025359
                 127,            0.074728,              0.1967,                   0,             0.75857,              0.6435,             0.71805,             0.36053,            0.073304,             0.18942,                   0,           0.0024948,           0.0024948,           0.0024948
                 128,             0.07553,             0.19059,                   0,             0.80419,             0.59753,             0.70938,             0.36137,            0.073113,             0.18775,                   0,           0.0024552,           0.0024552,           0.0024552
                 129,            0.073526,             0.19526,                   0,             0.78716,             0.59137,             0.69566,             0.35054,            0.073288,             0.18634,                   0,           0.0024172,           0.0024172,           0.0024172
                 130,            0.074912,             0.18916,                   0,             0.83344,             0.57499,             0.69953,             0.35792,            0.073209,             0.18648,                   0,           0.0023807,           0.0023807,           0.0023807
                 131,            0.075035,             0.19479,                   0,             0.79878,             0.60818,             0.70884,             0.35997,            0.072981,             0.18609,                   0,           0.0023458,           0.0023458,           0.0023458
                 132,             0.07463,             0.19183,                   0,             0.79084,             0.60827,               0.712,             0.36286,             0.07298,             0.18676,                   0,           0.0023125,           0.0023125,           0.0023125
                 133,            0.073896,             0.19317,                   0,             0.81381,             0.57821,             0.70016,             0.35905,            0.073225,             0.18737,                   0,           0.0022809,           0.0022809,           0.0022809
                 134,            0.074868,             0.18594,                   0,             0.81405,             0.59305,             0.70469,              0.3573,            0.073025,             0.18693,                   0,           0.0022509,           0.0022509,           0.0022509
                 135,            0.074735,             0.19151,                   0,             0.80943,             0.60711,             0.71494,              0.3622,            0.072944,             0.18711,                   0,           0.0022225,           0.0022225,           0.0022225
                 136,            0.074589,             0.19106,                   0,             0.78012,             0.61211,             0.70585,             0.35486,            0.073155,             0.18688,                   0,           0.0021958,           0.0021958,           0.0021958
                 137,            0.074551,              0.1853,                   0,             0.83546,             0.57735,              0.7048,             0.35673,            0.073111,             0.18706,                   0,           0.0021707,           0.0021707,           0.0021707
                 138,            0.075243,             0.18734,                   0,             0.76593,             0.62668,             0.71177,             0.35851,            0.072978,             0.18814,                   0,           0.0021473,           0.0021473,           0.0021473
                 139,            0.074446,             0.18993,                   0,             0.78451,             0.61435,             0.71056,             0.35749,            0.072771,             0.18743,                   0,           0.0021257,           0.0021257,           0.0021257
                 140,             0.07342,             0.19445,                   0,             0.81956,              0.5667,             0.69749,             0.35337,            0.072825,             0.18617,                   0,           0.0021057,           0.0021057,           0.0021057
                 141,               0.074,             0.19128,                   0,              0.8197,             0.57849,             0.70622,             0.36094,            0.072824,             0.18644,                   0,           0.0020874,           0.0020874,           0.0020874
                 142,            0.074431,             0.19068,                   0,             0.83799,             0.58352,             0.71252,             0.36633,            0.072898,             0.18731,                   0,           0.0020709,           0.0020709,           0.0020709
                 143,             0.07323,             0.19281,                   0,             0.78584,             0.60482,             0.71108,             0.36133,            0.072502,             0.18596,                   0,            0.002056,            0.002056,            0.002056
                 144,             0.07346,             0.19293,                   0,             0.83286,             0.59529,             0.71713,             0.36791,            0.072461,             0.18657,                   0,           0.0020429,           0.0020429,           0.0020429
                 145,            0.074615,              0.1894,                   0,             0.79317,               0.625,             0.72293,             0.36834,            0.072869,             0.19083,                   0,           0.0020315,           0.0020315,           0.0020315
                 146,            0.074116,             0.19074,                   0,              0.8253,             0.60642,             0.72145,             0.36785,            0.072468,              0.1875,                   0,           0.0020219,           0.0020219,           0.0020219
                 147,            0.073955,              0.1913,                   0,             0.77179,             0.61612,             0.70789,             0.36135,            0.072632,             0.18613,                   0,            0.002014,            0.002014,            0.002014
                 148,            0.074379,             0.18459,                   0,             0.75222,             0.61491,             0.69717,             0.36201,            0.072841,             0.18653,                   0,           0.0020079,           0.0020079,           0.0020079
                 149,            0.073754,             0.19443,                   0,             0.82615,             0.58334,             0.70848,             0.36297,            0.072487,             0.18625,                   0,           0.0020035,           0.0020035,           0.0020035
